,comicID,x1,x2,x3,gmmCluster,url
1723,1724,3.1420515,-3.643799,-4.0159326,1,"=hyperlink(""https://xkcd.com/1724/"")"
569,570,-5.325352,-1.5738876,8.809083,1,"=hyperlink(""https://xkcd.com/570/"")"
1717,1718,1.7294025,-3.9104295,8.476782,1,"=hyperlink(""https://xkcd.com/1718/"")"
1019,1020,-4.5267963,-4.6088624,-5.0259852,1,"=hyperlink(""https://xkcd.com/1020/"")"
437,438,3.461723,-10.675422,7.1189046,1,"=hyperlink(""https://xkcd.com/438/"")"
1612,1613,10.617741,-2.742898,-10.031668,1,"=hyperlink(""https://xkcd.com/1613/"")"
1694,1695,-0.9212755,0.5305648,-4.0225,1,"=hyperlink(""https://xkcd.com/1695/"")"
1367,1368,8.448196,-0.7737731,-7.2413936,1,"=hyperlink(""https://xkcd.com/1368/"")"
554,555,1.3703753,-11.632317,2.9290354,1,"=hyperlink(""https://xkcd.com/555/"")"
1699,1700,2.109517,2.2734127,5.287789,1,"=hyperlink(""https://xkcd.com/1700/"")"
938,939,8.8439245,-13.661491,7.666254,1,"=hyperlink(""https://xkcd.com/939/"")"
939,940,-1.2333109,-9.359979,1.5176998,1,"=hyperlink(""https://xkcd.com/940/"")"
941,942,10.147698,-11.160533,5.780338,1,"=hyperlink(""https://xkcd.com/942/"")"
418,419,7.6897225,-1.7818203,-2.6871557,1,"=hyperlink(""https://xkcd.com/419/"")"
558,559,-4.994835,-13.020278,0.001936685,1,"=hyperlink(""https://xkcd.com/559/"")"
416,417,-2.465395,-13.959585,7.9422274,1,"=hyperlink(""https://xkcd.com/417/"")"
415,416,1.7608927,-3.5572717,7.148701,1,"=hyperlink(""https://xkcd.com/416/"")"
1609,1610,-5.4127197,4.6358013,1.5548508,1,"=hyperlink(""https://xkcd.com/1610/"")"
1426,1427,3.3854613,-8.625193,-0.90072405,1,"=hyperlink(""https://xkcd.com/1427/"")"
565,566,4.2919865,-3.9169493,1.7769222,1,"=hyperlink(""https://xkcd.com/566/"")"
1350,1351,19.043173,-10.727037,-0.09463223,1,"=hyperlink(""https://xkcd.com/1351/"")"
406,407,-6.324133,-14.14926,9.747803,1,"=hyperlink(""https://xkcd.com/407/"")"
1346,1347,9.764518,-10.84316,-0.23198923,1,"=hyperlink(""https://xkcd.com/1347/"")"
1370,1371,6.2678623,-6.9821544,-1.9810642,1,"=hyperlink(""https://xkcd.com/1371/"")"
856,857,10.84816,-13.7180605,5.248311,1,"=hyperlink(""https://xkcd.com/857/"")"
1400,1401,-2.7097797,-12.993623,9.744465,1,"=hyperlink(""https://xkcd.com/1401/"")"
1585,1586,2.1493526,-1.4822845,10.2854805,1,"=hyperlink(""https://xkcd.com/1586/"")"
684,685,7.0289803,-10.955731,-3.9406552,1,"=hyperlink(""https://xkcd.com/685/"")"
686,687,3.3435886,-7.1856375,-7.819495,1,"=hyperlink(""https://xkcd.com/687/"")"
688,689,13.925809,-3.8548362,-2.0727124,1,"=hyperlink(""https://xkcd.com/689/"")"
1526,1527,7.989075,-1.6681536,5.634114,1,"=hyperlink(""https://xkcd.com/1527/"")"
108,109,-0.6706686,-12.320988,1.2645011,1,"=hyperlink(""https://xkcd.com/109/"")"
690,691,-5.775501,0.081962205,-2.1944032,1,"=hyperlink(""https://xkcd.com/691/"")"
1932,1933,5.642893,-7.658642,-9.851212,1,"=hyperlink(""https://xkcd.com/1933/"")"
